indicator_id,indicator,geography,unit,period,value,numerator,denominator,source_id,source_url,method_note,sentence,anchor_id
I1,Mature firm share,Boise metro,employer firms,2023,42.2,7342,17411,bds,https://www2.census.gov/programs-surveys/bds/tables/time-series/2023/,"Firms whose age bucket is 11 or more years, plus firms already trading in 1978 and therefore left censored, over all employer firms. Firm age is the age of the firm's oldest establishment.","In 2023, 7,342 of the 17,411 employer firms in the Boise metro area had been operating for 11 or more years, a mature firm share of 42.2%.",s01
I1-001,Mature firm share,Ada County,employer firms,2023,44.6,5602,12549,bds,https://www2.census.gov/programs-surveys/bds/tables/time-series/2023/,"Same measure as I1, county level.","Ada County had 12,549 employer firms in 2023, of which 5,602 had been operating for 11 or more years (44.6%).",s01-001
I1-027,Mature firm share,Canyon County,employer firms,2023,40.2,1838,4570,bds,https://www2.census.gov/programs-surveys/bds/tables/time-series/2023/,"Same measure as I1, county level.","Canyon County had 4,570 employer firms in 2023, of which 1,838 had been operating for 11 or more years (40.2%).",s01-027
I2,Firm deaths,Boise metro,employer firms,2023,1768,1768,17411,bds,https://www2.census.gov/programs-surveys/bds/tables/time-series/2023/,"Census counts a firm death when a firm with employees in one year has none in the next. It does not distinguish a sale from a closure, and this page does not either.","1,768 employer firms in the Boise metro area ceased to have employees in 2023, out of 17,411 firms.",s02
I3-10,"Establishments, All private industry",Treasure Valley core,establishments,2025,35388,26422,8966,qcew,https://data.bls.gov/cew/data/api/2025/a/area/16001.csv,"BLS QCEW annual average, private ownership. Counts worksites with payroll, so sole proprietors without employees are excluded. Ada in the numerator column, Canyon in the denominator column.","Ada and Canyon counties had 35,388 private all private industry establishments in 2025. That is 14,061 more than in 2019, a change of +66%.",s03-10
I3-23,"Establishments, Construction",Treasure Valley core,establishments,2025,4736,2642,2094,qcew,https://data.bls.gov/cew/data/api/2025/a/area/16001.csv,"BLS QCEW annual average, private ownership. Counts worksites with payroll, so sole proprietors without employees are excluded. Ada in the numerator column, Canyon in the denominator column.","Ada and Canyon counties had 4,736 private construction establishments in 2025. That is 1,671 more than in 2019, a change of +55%.",s03-23
I3-23822,"Establishments, Plumbing, heating and air conditioning contractors",Treasure Valley core,establishments,2025,416,250,166,qcew,https://data.bls.gov/cew/data/api/2025/a/area/16001.csv,"BLS QCEW annual average, private ownership. Counts worksites with payroll, so sole proprietors without employees are excluded. Ada in the numerator column, Canyon in the denominator column.","Ada and Canyon counties had 416 private plumbing, heating and air conditioning contractors establishments in 2025. That is 148 more than in 2019, a change of +55%.",s03-23822
I3-23821,"Establishments, Electrical contractors",Treasure Valley core,establishments,2025,342,206,136,qcew,https://data.bls.gov/cew/data/api/2025/a/area/16001.csv,"BLS QCEW annual average, private ownership. Counts worksites with payroll, so sole proprietors without employees are excluded. Ada in the numerator column, Canyon in the denominator column.","Ada and Canyon counties had 342 private electrical contractors establishments in 2025. That is 120 more than in 2019, a change of +54%.",s03-23821
I3-561730,"Establishments, Landscaping services",Treasure Valley core,establishments,2025,643,378,265,qcew,https://data.bls.gov/cew/data/api/2025/a/area/16001.csv,"BLS QCEW annual average, private ownership. Counts worksites with payroll, so sole proprietors without employees are excluded. Ada in the numerator column, Canyon in the denominator column.","Ada and Canyon counties had 643 private landscaping services establishments in 2025. That is 264 more than in 2019, a change of +70%.",s03-561730
I3-561720,"Establishments, Janitorial services",Treasure Valley core,establishments,2025,370,269,101,qcew,https://data.bls.gov/cew/data/api/2025/a/area/16001.csv,"BLS QCEW annual average, private ownership. Counts worksites with payroll, so sole proprietors without employees are excluded. Ada in the numerator column, Canyon in the denominator column.","Ada and Canyon counties had 370 private janitorial services establishments in 2025. That is 134 more than in 2019, a change of +57%.",s03-561720
